,angle,curLapTime,distFromStart,distRaced,rpm,speedX,speedY,speedZ,steer,totalDistFromStart,trackPos
181,0.0350634,4.02,1993.28,35.7208,4530.11,61.7648,0.764693,0.122942,0.12043707863215991,-64.2832,-0.0882681
182,0.0348603,3.818,1989.9,32.3463,4377.1,59.6057,0.839723,0.129751,0.11875073125332067,-67.6577,-0.0778695
183,0.0374915,3.616,1986.64,29.0856,4260.91,57.5251,0.953653,0.158364,0.12617289097858803,-70.9185,-0.0683374
184,0.038911,3.414,1983.49,25.9336,4097.8,55.5606,0.942917,0.114824,0.12973655981296664,-74.0704,-0.05879
185,0.0387146,3.212,1980.44,22.8856,3941.78,53.7054,0.911584,0.224675,0.1281818691965017,-77.1184,-0.0494947
186,0.0377957,3.01,1977.49,19.9368,3828.83,51.9258,0.725551,-0.0904071,0.12438299965235905,-80.0673,-0.0407555
187,0.0332229,2.808,1974.64,17.0826,3641.31,50.201,0.828609,0.16389,0.10905970517694763,-82.9214,-0.0330793
188,0.037245,2.606,1971.83,14.2709,5865.42,50.3059,0.839246,0.251099,0.12112354710914504,-85.7332,-0.0256903
189,0.0373179,2.404,1969.1,11.5437,5717.95,47.0903,0.741603,0.0286333,0.12058748501617302,-88.4603,-0.0180092
19,0.0324657,36.616,1001.82,1101.83,4745.34,112.776,-2.50391,-0.739452,0.19110813271876412,1001.82,-0.877666
190,0.0345198,2.202,1966.6,9.04834,5111.36,41.9813,0.675798,0.122364,0.11098790609086494,-90.9557,-0.0110797
191,0.0353367,2.0,1964.44,6.88696,4268.16,35.2243,0.593875,0.126536,0.11305610755110015,-93.1171,-0.00575898
192,0.0311729,1.798,1962.63,5.07275,3643.55,29.4466,0.482942,0.00864413,0.09940369751018034,-94.9313,-0.00177275
193,0.0269849,1.598,1961.17,3.61328,2801.27,23.2371,0.355842,0.0310748,0.08582177097680409,-96.3907,0.000738335
194,0.0218994,1.398,1960.02,2.46265,2152.67,18.3335,0.228734,0.0369878,0.06947294421492847,-97.5414,0.00235011
195,0.0146448,1.198,1959.11,1.55725,1591.74,14.2435,0.134149,-0.0181619,0.04628944821184071,-98.4468,0.00326398
196,0.00866812,0.998,1958.43,0.872192,1117.62,10.413,0.0719313,0.0226452,0.027247365906272577,-99.1318,0.00344117
197,0.00270813,0.798,1957.95,0.391357,942.478,6.96796,0.0409854,0.0342612,0.008290356520708522,-99.6127,0.00329889
198,0.000133689,0.598,1957.66,0.103394,942.478,3.47844,0.0645479,-0.0502656,0.00013100630374021985,-99.9006,0.00294539
199,-0.000939671,0.398,1957.56,0.00476074,942.478,0.0845864,0.108291,0.0113207,-0.0032465356906018904,-99.9993,0.0025547
2,0.0178702,40.016,1096.98,1196.98,5516.4,103.506,-4.46621,0.060278,0.16908161328081203,1096.98,-1.12199
20,0.0111703,36.416,996.146,1096.15,4772.08,113.683,-4.63644,-0.555361,0.11891976921638564,996.146,-0.833636
200,0.000329669,0.198,1957.56,0.0,942.478,0.0713899,-0.115618,-0.0484968,0.0008500320186831717,-100.004,0.00199337
21,0.0078764,36.216,990.38,1090.38,4828.55,115.041,-7.3606,-0.786209,0.10311165987537844,990.38,-0.780403
22,0.040036,36.016,984.494,1084.5,4911.78,117.038,-6.75624,-0.910943,0.19815284603253408,984.494,-0.707143
23,0.0716559,35.816,978.462,1078.47,4995.96,119.096,-4.97797,-0.718695,0.2894294137339558,978.462,-0.613416
24,0.0603434,35.616,972.268,1072.27,5065.37,120.945,-8.14211,-0.77376,0.2427014078594169,972.268,-0.506224
25,0.0396281,35.416,965.889,1065.89,5150.63,122.953,-12.3394,-0.548861,0.16473906000679045,965.889,-0.385989
26,0.0443724,35.216,959.286,1059.29,5259.82,125.679,-13.3039,-0.307459,0.16637733593700704,959.286,-0.251356
27,0.076354,35.016,952.418,1052.42,5448.51,128.954,-10.4069,-0.225757,0.25350153049675556,952.418,-0.104592
28,0.120337,34.816,945.288,1045.29,5631.26,131.221,-4.16341,0.036208,0.378368007736963,945.288,0.0467656
29,0.115294,34.616,937.94,1037.94,5552.04,131.759,-0.142627,0.197596,0.3486203001767154,937.94,0.183719
3,0.036649,39.816,1091.9,1191.9,5704.54,104.875,-3.24475,-0.29282,0.22400639018748977,1091.9,-1.07349
30,0.012366,34.416,930.469,1030.47,5556.04,131.261,0.159219,-0.300179,0.015302500525484965,930.469,0.240597
31,-0.00107783,34.216,923.189,1023.19,5530.14,130.8,-0.428553,-0.576971,-0.027977339446254523,923.189,0.245465
32,0.01913,34.016,915.934,1015.94,5510.49,130.361,0.297087,-0.71822,0.035236681226955155,915.934,0.25656
33,0.00415498,33.816,908.704,1008.71,5498.22,129.947,0.62392,-0.239332,-0.013278287891041605,908.704,0.26504
34,-0.00734156,33.616,901.539,1001.54,5502.74,129.643,0.652231,0.0199963,-0.04888051128011317,901.539,0.255116
35,-0.00883788,33.416,894.409,994.413,5464.76,129.415,0.462126,0.136905,-0.052415045769058144,894.409,0.242832
36,-0.00883609,33.216,887.289,987.293,5466.48,129.203,0.489256,0.174171,-0.051185848022095456,887.289,0.230597
37,-0.00776684,33.016,880.176,980.18,5479.24,129.019,0.671217,0.110866,-0.0465400195640755,880.176,0.218174
38,-0.00851059,32.816,873.067,973.072,5414.14,128.929,0.605944,0.182064,-0.04762844934256728,873.067,0.205384
39,-0.00841463,32.616,865.962,965.966,5438.84,128.814,0.686034,0.0141458,-0.04603489917578534,865.962,0.192503
4,0.0502043,39.616,1086.75,1186.75,5599.88,105.295,-1.57247,0.26193,0.2619322501893583,1086.75,-1.02127
40,-0.0113627,32.416,858.856,958.861,5429.96,128.779,0.53706,0.0291567,-0.053999497437403204,858.856,0.178309
41,-0.0103189,32.216,851.749,951.753,5431.16,128.763,0.63354,0.0920344,-0.049242778845417015,851.749,0.163967
42,-0.0105034,32.016,844.638,944.642,5451.08,128.772,0.614761,0.158581,-0.04837906058542606,844.638,0.149457
43,-0.0102594,31.814,837.449,937.453,5444.77,128.849,0.718355,0.0399421,-0.04610018446313767,837.449,0.134435
44,-0.012436,31.612,830.25,930.254,5448.96,128.958,0.601927,0.128596,-0.0514068174458136,830.25,0.118218
45,-0.0127711,31.41,823.04,923.044,5505.9,129.084,0.656989,-0.0107471,-0.050780073874415424,823.04,0.101284
46,-0.0125192,31.208,815.839,915.843,5432.64,128.501,0.635772,0.106226,-0.04829611127111849,815.839,0.0844626
47,-0.0128796,31.006,808.666,908.671,5429.31,127.91,0.625431,0.130372,-0.047741890100924805,808.666,0.0674485
48,-0.0147618,30.804,801.52,901.524,5374.35,127.4,0.550281,0.065197,-0.05192249877867572,801.52,0.0493423
49,-0.0157322,30.602,794.398,894.402,5368.98,126.894,0.572415,0.0517624,-0.053168967914203016,794.398,0.0309182
5,0.0484407,39.416,1081.55,1181.55,5670.12,105.492,-0.198042,0.11928,0.25141793703662135,1081.55,-0.972264
50,-0.0137371,30.4,787.298,887.302,5369.74,126.401,0.645289,0.109293,-0.04499004737495063,787.298,0.012635
51,-0.0163685,30.198,780.219,880.223,5299.23,126.015,0.584933,0.0329236,-0.051462892719990355,780.219,-0.00639661
52,-0.0176803,29.996,773.157,873.161,5325.47,125.59,0.467551,0.163048,-0.05359450280694903,773.157,-0.0268364
53,-0.015972,29.794,766.111,866.115,5284.08,125.241,0.65266,0.0480523,-0.0461541750212717,766.111,-0.0468628
54,-0.017624,29.592,759.079,859.083,5277.65,124.923,0.596091,0.0626928,-0.04935760434102758,759.079,-0.0674133
55,-0.0195836,29.39,752.058,852.062,5265.18,124.64,0.46672,0.016451,-0.05339916487068473,752.058,-0.0893737
56,-0.0179722,29.188,745.047,845.051,5253.08,124.391,0.640621,0.0117574,-0.046140689364719455,745.047,-0.110666
57,-0.0198187,28.986,738.043,838.047,5255.53,124.173,0.643258,-0.0624194,-0.04980368141310277,738.043,-0.132812
58,-0.0217139,28.784,731.044,831.048,5234.63,124.008,0.438248,0.190909,-0.053440790376057576,731.044,-0.156767
59,-0.0202702,28.582,724.048,824.052,5255.62,123.85,0.596504,0.0883093,-0.04648365054922249,724.048,-0.180384
6,-0.0151756,39.216,1076.32,1176.32,5653.71,105.343,0.1448,-0.106624,0.047486064912295844,1076.32,-0.957915
60,-0.0224298,28.38,717.052,817.056,5201.28,123.792,0.602431,-0.00154705,-0.05089547085124718,717.052,-0.205008
61,-0.0233848,28.178,710.054,810.058,5234.25,123.703,0.549488,-0.038269,-0.051363130264302184,710.054,-0.23073
62,-0.0228337,27.976,703.052,803.056,5190.42,123.713,0.666043,-0.0613093,-0.04703032448154342,703.052,-0.256516
63,-0.0245514,27.774,696.042,796.046,5219.05,123.707,0.54183,0.0279765,-0.04981673339652204,696.042,-0.283328
64,-0.0260507,27.572,689.024,789.028,5190.91,123.789,0.551218,-0.014376,-0.05182845352007529,689.024,-0.310935
65,-0.0245802,27.37,681.994,781.998,5244.94,123.847,0.740618,-0.0823326,-0.044339006643742955,681.994,-0.339022
66,-0.0296748,27.168,674.95,774.954,5241.69,124.002,0.532524,-0.108499,-0.05754712210526129,674.95,-0.369107
67,-0.0246649,26.966,667.889,767.893,5239.38,124.185,0.920076,-0.128689,-0.038603515117340614,667.889,-0.399073
68,-0.0293146,26.764,660.808,760.812,5239.52,124.417,0.701539,-0.00432358,-0.050260669895227365,660.808,-0.430506
69,-0.0274807,26.562,653.705,753.709,5267.63,124.66,0.919058,-0.17045,-0.041218084892503205,653.705,-0.462557
7,-0.034343,39.016,1070.57,1170.57,5642.45,105.218,-0.106289,1.18776,-0.011122064212092025,1070.57,-0.981951
70,-0.0301409,26.36,646.578,746.582,5252.83,124.979,0.844042,-0.00389155,-0.046312864484763856,646.578,-0.496286
71,-0.032172,26.158,639.423,739.427,5284.82,125.314,0.798964,-0.215471,-0.04924315658304239,639.423,-0.531635
72,-0.0283139,25.956,632.238,732.242,5286.98,125.693,1.03582,-0.0487555,-0.03351264286418636,632.238,-0.566133
73,-0.0393142,25.754,625.019,725.024,5310.67,126.155,0.618012,0.0281525,-0.06459248527405959,625.019,-0.605485
74,-0.0302813,25.552,617.763,717.768,5331.23,126.606,0.940838,-0.0800945,-0.03201037156496585,617.763,-0.64378
75,-0.0336764,25.35,610.469,710.473,5342.85,127.15,1.119,0.0386374,-0.03902031051079102,610.469,-0.68175
76,-0.0459676,25.148,603.131,703.135,5366.69,127.761,0.353032,-0.123431,-0.0735647152414105,603.131,-0.727547
77,-0.0237491,24.946,595.745,695.749,5394.41,128.323,1.05882,0.0711391,0.0008096668203303597,595.745,-0.764054
78,-0.0527482,24.744,588.427,688.431,5491.23,128.916,-1.46041,-0.0249457,-0.08773933538398723,588.427,-0.801634
79,0.00384021,24.542,581.248,681.252,5411.59,128.962,-1.51676,-0.0214921,0.09324586808021774,581.248,-0.810221
8,-0.0293427,38.816,1064.72,1164.73,5630.97,105.218,-0.027356,2.12254,0.00722228502675501,1064.72,-1.00623
80,0.00415468,24.34,574.422,674.427,5472.33,128.981,-1.59737,-0.268254,0.09269515717929984,574.422,-0.794704
81,0.00896811,24.138,567.585,667.589,5439.58,129.114,-1.42746,-0.519458,0.10625708073383527,567.585,-0.777107
82,0.0105659,23.936,560.733,660.737,5453.83,129.223,-1.2507,-0.558575,0.10942570426429093,560.733,-0.757934
83,0.00287366,23.734,553.865,653.869,5424.01,129.365,-1.836,-0.640257,0.08316624387530852,553.865,-0.740191
84,0.00844193,23.532,546.98,646.984,5500.96,129.531,-1.57187,-0.776127,0.09902189777471351,546.98,-0.721504
85,0.0138538,23.33,540.073,640.077,5482.14,129.806,-1.21402,-0.815253,0.11410391501212708,540.073,-0.700059
86,0.00640142,23.128,533.143,633.147,5473.21,130.021,-1.67406,-0.832718,0.08837305271614508,533.143,-0.679967
87,0.00339198,22.926,526.191,626.195,5484.66,130.298,-1.9273,-0.744428,0.07697640767737624,526.191,-0.661794
88,0.0117129,22.724,519.211,619.215,5498.54,130.668,-1.22835,-0.712341,0.10137851865881876,519.211,-0.640952
89,0.00468218,22.522,512.203,612.207,5523.43,131.0,-1.89378,-0.925132,0.07707634182891923,512.203,-0.621725
9,-0.0253234,38.616,1058.88,1158.88,5643.76,105.334,0.296892,2.55859,0.022160114282139265,1058.88,-1.02767
90,0.00606656,22.32,505.164,605.168,5550.24,131.432,-2.03968,-0.731244,0.07951496023127011,505.164,-0.602045
91,0.013737,22.118,498.089,598.093,5550.61,131.949,-1.30049,-0.657323,0.10157272906506445,498.089,-0.578465
92,0.00380695,21.916,490.977,590.981,5578.85,132.409,-2.0844,-0.588401,0.06793919821207302,490.977,-0.558213
93,0.0125158,21.714,483.824,583.828,5603.98,133.048,-1.8874,-0.455903,0.09332062873498825,483.824,-0.534816
94,0.0147966,21.512,476.624,576.628,5619.42,133.678,-1.30544,-0.301938,0.09791904061906767,476.624,-0.5082
95,0.00322777,21.31,469.378,569.382,5647.21,134.314,-2.56919,-0.180816,0.058882911013273864,469.378,-0.486086
96,0.0192861,21.108,462.077,562.082,5754.28,135.129,-1.68885,0.0522089,0.10711006295928802,462.077,-0.457205
97,0.0241848,20.906,454.739,554.743,5673.34,135.206,-1.15834,0.245762,0.11940040935377234,454.739,-0.424178
98,0.0124561,20.704,447.383,547.388,5674.66,135.189,-2.20955,0.256119,0.07907959773293655,447.383,-0.394306
99,0.0210935,20.502,440.006,540.01,5736.73,135.418,-3.10985,0.688192,0.10304109584217347,440.006,-0.358984
